"DOTA_Tooltip_ability_zhangwuji_01"										"武当长拳"
		"DOTA_Tooltip_ability_zhangwuji_01_number"								  "个数:"
		"DOTA_Tooltip_ability_zhangwuji_01_range"								  "范围:"
		"DOTA_Tooltip_ability_zhangwuji_01_Description"							  "有我在天下无敌"
		"DOTA_Tooltip_modifier_bloodfire"										"七伤拳法"
		"DOTA_Tooltip_ability_zhangwuji_02"										"七伤拳法"

		"DOTA_Tooltip_ability_zhangwuji_02_damage_self"							"自身每秒承受伤害:"
		"DOTA_Tooltip_ability_zhangwuji_02_attack_speed"						"攻击速度增加:"
		"DOTA_Tooltip_ability_zhangwuji_02_move_speed"							  "移动速度增加:"
		"DOTA_Tooltip_ability_zhangwuji_02_Description"							  "伤人伤已"

		"DOTA_Tooltip_ability_zhangwuji_03"										   "九阳神功"
		"DOTA_Tooltip_ability_zhangwuji_03_num"							             "真气个数:"
		"DOTA_Tooltip_ability_zhangwuji_03_damage"						               "攻击力增加:"
		"DOTA_Tooltip_ability_zhangwuji_03_armor"						           	  "护甲减少:"
		"DOTA_Tooltip_ability_zhangwuji_03_Description"					       		  "神功护体"
		"DOTA_Tooltip_modifier_zhangwuji_passive_01"	 			                   "九阳神功"
		"DOTA_Tooltip_modifier_zhangwuji_passive_02"				                   "九阳神功"
